Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-October-2024,2564.55,2564.55,2523.05,2527.50,2530.893477629636799186,165308,13866,418376939.00,25885,15.66,41.50,-37.05
30-October-2024,2550.00,2562.95,2533.95,2554.95,2553.601801868880533114,26861,3934,68592298.00,12307,45.82,29.00,4.95
29-October-2024,2589.95,2589.95,2536.25,2549.20,2551.166851754082542919,54929,2822,140133044.00,38480,70.05,53.70,-40.75
28-October-2024,2547.95,2589.20,2521.60,2575.25,2561.979093636507184588,31665,3009,81125068.00,16050,50.69,67.60,27.30
25-October-2024,2525.00,2540.00,2500.25,2527.55,2522.196902882567630689,126311,12116,318581213.00,51099,40.45,39.75,2.55
24-October-2024,2650.00,2650.00,2453.10,2502.95,2504.744353267607296770,169390,14551,424278646.00,50935,30.07,196.90,-147.05
23-October-2024,2650.00,2692.00,2633.55,2658.00,2674.221639649173441082,62367,7672,166783181.00,39700,63.66,58.45,8.00
22-October-2024,2680.05,2710.00,2673.20,2682.05,2695.322036485764445462,39303,4719,105934242.00,17279,43.96,36.80,2.00
21-October-2024,2715.65,2735.85,2682.00,2693.60,2704.869940057722193443,54052,3033,146203630.00,26089,48.27,53.85,-22.05
18-October-2024,2734.10,2740.95,2695.00,2715.65,2715.538437620181489391,122211,6935,331868668.00,35186,28.79,45.95,-18.45
17-October-2024,2780.00,2781.60,2723.70,2737.00,2752.217916948261620485,13317,1732,36651286.00,4270,32.06,57.90,-43.00
16-October-2024,2782.05,2797.00,2757.55,2781.10,2773.008866794581080295,34398,2314,95385959.00,24678,71.74,39.45,-0.95
15-October-2024,2792.00,2798.00,2765.00,2780.70,2787.281778836802178564,41128,2625,114635325.00,27991,68.06,33.00,-11.30
14-October-2024,2783.95,2803.65,2766.80,2789.00,2788.251898409440738840,38980,2984,108686059.00,19298,49.51,36.85,5.05
11-October-2024,2755.60,2790.00,2738.70,2780.55,2776.559247897794940272,138545,9170,384678401.00,25050,18.08,51.30,24.95
10-October-2024,2772.00,2786.00,2733.25,2754.20,2752.473647586402412308,38801,5185,106798730.00,14997,38.65,52.75,-17.80
9-October-2024,2849.95,2849.95,2761.50,2769.10,2797.034604004150174845,52046,4253,145574463.00,32211,61.89,88.45,-80.85
8-October-2024,2834.30,2886.10,2800.00,2816.50,2843.679302544504236156,71173,6774,202393187.00,31750,44.61,86.10,-17.80
7-October-2024,2830.25,2864.40,2826.20,2834.25,2839.049982338396326386,62282,6788,176821711.00,29869,47.96,38.20,4.00
4-October-2024,2885.40,2913.80,2819.00,2848.85,2862.599100734893588555,209282,19806,599090465.00,33431,15.97,94.80,-36.55
3-October-2024,2917.95,2921.95,2862.90,2895.30,2897.263805884850266157,30621,3406,88717115.00,14526,47.44,59.05,-22.65
1-October-2024,2958.05,2970.65,2891.00,2921.95,2922.085780693896327143,41303,5752,120690909.00,13605,32.94,79.65,-36.10
